,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
448,528,PT08M51.00S,2021-07-15T03:05:00.8Z,4,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",203507,,,1610612749,82,87,2021-07-15T03:05:30Z,5190000,,,0,,MISS G. Antetokounmpo Free Throw 2 of 2,[203507],1610612749,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Missed,,,,,,,,,,,,,,,,,,,
449,529,PT08M50.00S,2021-07-15T03:05:01.8Z,4,REGULAR,rebound,defensive,[],101108,,,1610612756,82,87,2021-07-15T03:09:58Z,5200000,,,0,,C. Paul REBOUND (Off:0 Def:4),[101108],1610612756,PHX,,,,Paul,C. Paul,,,,,,,,,,,528,4,4,0,,,,,,,,,,,
450,530,PT08M39.00S,2021-07-15T03:05:37.0Z,4,REGULAR,2pt,Jump Shot,[],101108,79.31997371879106,63.794424019607845,1610612756,82,89,2021-07-15T03:05:40Z,5210000,69,142,1,right,C. Paul 15' pullup Jump Shot (8 PTS),[101108],1610612756,PHX,pullup,,,Paul,C. Paul,,,,,15.78,Made,8,,,,,,,,,,,,,,,,,,
451,531,PT08M24.00S,2021-07-15T03:05:51.3Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],203114,5.732588699080158,50.80422794117647,1610612749,84,89,2021-07-15T03:05:54Z,5220000,-4,1,1,left,K. Middleton Layup (28 PTS) (J. Holiday 5 AST),"[203114, 201950]",1610612749,MIL,,,,Middleton,K. Middleton,,,,,0.42,Made,28,J. Holiday,201950,5,,,,,,,,,,,,,,,
452,533,PT08M10.00S,2021-07-15T03:06:10.6Z,4,REGULAR,foul,personal,[],203114,,,1610612756,84,89,2021-07-15T03:06:23Z,5240000,,,0,,K. Middleton personal FOUL (1 PF),"[203114, 1629028]",1610612749,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,2004,1,0,Ayton,1629028,,,
453,535,PT08M07.00S,2021-07-15T03:06:42.6Z,4,REGULAR,turnover,bad pass,[],203109,,,1610612756,84,89,2021-07-15T03:11:15Z,5260000,,,0,,J. Crowder bad pass TURNOVER (3 TO),"[203109, 203507]",1610612756,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,3,Antetokounmpo,203507,,,,,,,,
454,536,PT08M07.00S,2021-07-15T03:06:42.6Z,4,REGULAR,steal,,[],203507,,,1610612749,84,89,2021-07-15T03:06:45Z,5270000,,,0,,G. Antetokounmpo STEAL (2 STL),[203507],1610612749,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,
455,537,PT08M05.00S,2021-07-15T03:06:46.9Z,4,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",203507,6.783837056504599,50.80422794117647,1610612749,86,89,2021-07-15T03:11:21Z,5280000,-4,11,1,left,G. Antetokounmpo running DUNK (22 PTS),[203507],1610612749,MIL,running,,,Antetokounmpo,G. Antetokounmpo,,,,,1.2,Made,22,,,,,,,,,,,,,,,,,,
456,538,PT07M43.00S,2021-07-15T03:07:10.1Z,4,REGULAR,foul,personal,[],1626192,,,1610612756,86,89,2021-07-15T03:07:16Z,5290000,,,0,,P. Connaughton personal FOUL (3 PF),"[1626192, 203109]",1610612749,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,2714,3,0,Crowder,203109,,,
457,540,PT07M40.00S,2021-07-15T03:07:41.2Z,4,REGULAR,foul,personal,[],203507,,,1610612756,86,89,2021-07-15T03:07:50Z,5310000,,,0,,G. Antetokounmpo personal FOUL (2 PF),"[203507, 101108]",1610612749,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,1148,2,0,Paul,101108,,,
458,542,PT07M40.00S,2021-07-15T03:07:55.7Z,4,REGULAR,substitution,out,[],203114,,,1610612756,86,89,2021-07-15T03:08:04Z,5330000,,,0,,SUB out: K. Middleton,[203114],1610612749,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,,
459,543,PT07M40.00S,2021-07-15T03:07:55.7Z,4,REGULAR,substitution,in,[],1626171,,,1610612756,86,89,2021-07-15T03:08:04Z,5340000,,,0,,SUB in: B. Portis,[1626171],1610612749,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,
460,544,PT07M26.00S,2021-07-15T03:08:26.1Z,4,REGULAR,3pt,Jump Shot,[],101108,66.57358739,63.549325980392155,1610612756,86,89,2021-07-15T03:12:20Z,5350000,68,262,1,right,MISS C. Paul 27' pullup 3PT,[101108],1610612756,PHX,pullup,,,Paul,C. Paul,,,,,27.03,Missed,,,,,,,,,,,,,,,,,,,
461,545,PT07M25.00S,2021-07-15T03:08:27.1Z,4,REGULAR,rebound,defensive,[],203507,,,1610612749,86,89,2021-07-15T03:12:20Z,5360000,,,0,,G. Antetokounmpo REBOUND (Off:4 Def:7),[203507],1610612749,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,544,11,7,4,,,,,,,,,,,
462,546,PT07M15.00S,2021-07-15T03:08:36.3Z,4,REGULAR,3pt,Jump Shot,[],1626192,13.61695137976347,96.39246323529412,1610612749,86,89,2021-07-15T03:08:43Z,5370000,-232,75,1,left,MISS P. Connaughton 24' 3PT,[1626192],1610612749,MIL,,,,Connaughton,P. Connaughton,,,,,24.4,Missed,,,,,,,,,,,,,,,,,,,
